en,ks,domain
"Mom, let's go for a movie tomorrow.","ممی، پَکھ پَگہَہ گژھَو فِلِم وچھنہِ۔","conversation"
"I don't have to go to school.","مےٚ چھُنہٕ سکول گژھُن۔","conversation"
"It is a holiday.","پَگہَہ چھِ چھُٹی۔","conversation"
"Oh, tomorrow is the 14th of April right?","اچھا، پَگہَہ چھُ 14 اپریل، چھُنَاہ؟","conversation"
"Your dad will also have the day off from work.","چٲنِس مٲلِس تہِ آسہِ پَگہَہ چھُٹی۔","conversation"
"We can make a movie plan!","أس ہیکَو موی وچھنک پٕلان کٔرِتھ!","conversation"
"That's a good news!","یہ چھےٚ رٕژ خبر !","conversation"
"Why is it a holiday though?","توتہِ پَگہَہ کیٛازِ چھِ چھُٹی؟","conversation"
"Are all schools, colleges and offices closed tomorrow?","کیٛاہ پَگہَہ چھاسارنٕے سکولَن، کالجَن تہٕ دفترَن چھُٹی؟","conversation"
"It is Ambedkar Jayanti tomorrow!","پَگہَہ چھِ امبیڈکر جینتی۔","conversation"
"This day is celebrated annually to mark the birth of Dr. B. R Ambedkar.","یہِ دۄہ چھُ پرٛیتھ ؤرۍ یہِ ڈاکٹر بی آر امبیڈکر سٕنٛدِ زاہ دۄہ کِس موقعَس پیٹھ مناونہٕ یِوان۔","conversation"
"Have you heard of him?","ژَے چھُتھاہ أمِس مُتعلِق بوٗزمُت؟","conversation"
"I think I have seen him in my History and Civics book.","مےٚ چھُ باسان زِ مےٚ چھُ یہِ پننہِ ہِسٹری تہٕ سویکس کِتابہِ منٛز ؤچھمت۔","conversation"
"Is he related to our Constitution?","تمس چھاسٲنِس ٲینَس سۭتۍ تعلُق ؟","conversation"
"Absolutely! He is known as the father of the Indian Constitution.","بالکُل! یہِ چھُ ہندوستٲنی آیینک بب زاننہٕ یِوان۔","conversation"
"He was a civil rights activist who played a major role in formulating the Constitution.","سُہ اوس شہری حقوقُک کارکن، ییٚمۍ ٲین کِس تشکیل دنس منٛز اَہم کِردار اَدا کوٚر۔","conversation"
"He played a crucial part in shaping the vibrant democratic structure that India prides itself upon.","أمۍ کوٚر متحرک جمہوٗری ڈانٛچہٕ تشکیلَس کرنَس منٛز اَہم کِردار اَدا، یَتھ پیٹھ ہندوستانَس فخر چھُ۔","conversation"
"I remember now!","مےٚ پٮ۪وٚو یاد وۄنۍ!","conversation"
"We were discussing about him in our Civics class the other day.","أس ٲسۍ أمِس مُتعلِق پنننس سوِکٕس کلاسَس منٛز کَتھ کران۔","conversation"
"Ma'am said that she will tell us more about him when we do the chapter on the Indian Constitution","میڈمہِ ووٚن زِ ییٚلہِ أسۍ ہندوستٲنی ٲیینُک چیپٹر کرَو، سۄ وَنہٕ اَسہِ یِمَن مُتعلِق مزید ۔","conversation"
"He fought to remove the class distinction that prevailed in the society, right?","أمۍ چھُ سماجَس منٛز موجودٕ طبقٲتی تفریق دوٗر کرنہٕ باپت جدوجہد کوٚرمُت، ٹھیک چھا؟","conversation"
